epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,57.7113,0.35773,1.51063,0.8593,0.83916,0.64581,0.72893,0.70697,0.45638,1.47569,1.07412,0.000349331,0.000349331,0.000349331
43,59.0209,0.32557,1.48349,0.86781,0.80867,0.65036,0.73725,0.71885,0.47067,1.50861,1.08092,0.00034351,0.00034351,0.00034351
44,60.3751,0.34143,1.39195,0.86182,0.64052,0.68595,0.76775,0.75271,0.47543,1.30663,1.05505,0.000337688,0.000337688,0.000337688
45,61.6972,0.30516,1.2836,0.85449,0.78844,0.61929,0.80926,0.79619,0.48261,1.38703,1.0407,0.000331867,0.000331867,0.000331867
46,62.9993,0.35555,1.33836,0.8825,0.62516,0.7827,0.8058,0.79147,0.48507,1.4629,1.04028,0.000326046,0.000326046,0.000326046
47,64.3346,0.35763,1.45873,0.86094,0.60771,0.76515,0.78762,0.77327,0.46677,1.5049,1.04035,0.000320225,0.000320225,0.000320225
48,65.6764,0.29114,1.23107,0.85503,0.66796,0.75763,0.79611,0.78188,0.48994,1.27878,1.06763,0.000314404,0.000314404,0.000314404
49,66.9891,0.348,1.34583,0.87036,0.71265,0.75944,0.80118,0.78034,0.46036,1.17386,1.04932,0.000308582,0.000308582,0.000308582
50,68.3,0.33638,1.29015,0.90002,0.74963,0.76515,0.81133,0.77947,0.46266,1.1122,1.07048,0.000302761,0.000302761,0.000302761
51,69.6595,0.32028,1.28079,0.85637,0.72944,0.76515,0.81834,0.77787,0.48312,1.11905,1.08986,0.00029694,0.00029694,0.00029694
52,71.0261,0.33594,1.24608,0.86488,0.84125,0.70902,0.79475,0.77592,0.44972,1.05905,1.06674,0.000291119,0.000291119,0.000291119
53,72.4059,0.29146,1.32805,0.84294,0.86247,0.70934,0.80943,0.79594,0.45745,0.96768,1.06532,0.000285298,0.000285298,0.000285298
54,73.7749,0.31396,1.19552,0.85576,0.87124,0.70681,0.80857,0.7935,0.4436,1.00164,1.04595,0.000279476,0.000279476,0.000279476
55,75.153,0.3078,1.22632,0.821,0.67766,0.76937,0.80516,0.79282,0.43962,1.05882,1.03734,0.000273655,0.000273655,0.000273655
56,76.5255,0.33062,1.21322,0.84038,0.745,0.72727,0.79269,0.77967,0.38737,1.20632,0.99097,0.000267834,0.000267834,0.000267834
57,77.9142,0.299,1.1231,0.85769,0.74318,0.72994,0.78646,0.77892,0.38657,1.21257,0.99748,0.000262013,0.000262013,0.000262013
58,79.2816,0.28769,1.17669,0.84981,0.73888,0.73583,0.80539,0.7977,0.37585,1.12587,0.9921,0.000256192,0.000256192,0.000256192
59,80.6631,0.30901,1.22278,0.8569,0.81907,0.76069,0.81358,0.80378,0.38241,1.04285,0.98654,0.00025037,0.00025037,0.00025037
60,82.0422,0.34399,1.20964,0.87614,0.81226,0.75944,0.80952,0.79194,0.40066,0.96872,1.00712,0.000244549,0.000244549,0.000244549
61,83.3721,0.30275,1.17693,0.84792,0.80532,0.74296,0.81877,0.81006,0.39684,0.9302,1.01235,0.000238728,0.000238728,0.000238728
62,84.7191,0.23489,1.20247,0.82924,0.83889,0.74348,0.75204,0.74142,0.39633,1.00527,1.00935,0.000232907,0.000232907,0.000232907
63,86.0418,0.29063,1.1219,0.85785,0.87122,0.75095,0.75416,0.74391,0.39065,1.07782,1.01291,0.000227086,0.000227086,0.000227086
64,87.4041,0.27938,1.09048,0.8522,0.82196,0.74278,0.77225,0.75891,0.35838,0.98678,0.98761,0.000221264,0.000221264,0.000221264
65,88.7446,0.28328,1.0661,0.87074,0.82823,0.75618,0.78171,0.75901,0.36431,0.97316,0.97303,0.000215443,0.000215443,0.000215443
66,90.0623,0.28719,1.09956,0.82014,0.82704,0.75796,0.78421,0.75938,0.36973,0.9387,0.97433,0.000209622,0.000209622,0.000209622
67,91.4707,0.27424,1.09253,0.83136,0.82007,0.75976,0.78766,0.76085,0.35816,0.92589,0.96651,0.000203801,0.000203801,0.000203801
68,92.883,0.32103,1.05438,0.85682,0.82344,0.76245,0.78556,0.76453,0.37688,0.96588,0.97245,0.00019798,0.00019798,0.00019798
69,94.201,0.2787,1.02884,0.85334,0.82057,0.76286,0.77968,0.75838,0.35928,0.94317,0.96329,0.000192158,0.000192158,0.000192158
70,95.6233,0.25625,1.03684,0.86449,0.84227,0.76806,0.78783,0.7647,0.34854,0.91984,0.96001,0.000186337,0.000186337,0.000186337
71,96.9863,0.25749,1.12324,0.85241,0.8471,0.76763,0.83474,0.81038,0.36016,0.88525,0.96761,0.000180516,0.000180516,0.000180516
72,98.3542,0.25164,1.01781,0.83499,0.83728,0.77439,0.83095,0.81137,0.3404,0.81605,0.96971,0.000174695,0.000174695,0.000174695
73,99.7219,0.26364,1.08213,0.83933,0.82833,0.77694,0.83871,0.81597,0.32364,0.77085,0.96502,0.000168874,0.000168874,0.000168874
74,101.086,0.24331,1.04452,0.82568,0.83671,0.7652,0.84423,0.82029,0.31629,0.78555,0.96406,0.000163052,0.000163052,0.000163052
75,102.622,0.29865,1.12873,0.85821,0.85937,0.75976,0.80127,0.77484,0.31971,0.8596,0.96701,0.000157231,0.000157231,0.000157231
76,104.033,0.26957,1.06792,0.84062,0.86782,0.74395,0.80642,0.77413,0.34444,0.94404,0.97997,0.00015141,0.00015141,0.00015141
77,105.356,0.2535,0.97112,0.84736,0.85039,0.74257,0.8029,0.77205,0.35276,0.99981,0.98859,0.000145589,0.000145589,0.000145589
78,106.658,0.23179,1.05154,0.84373,0.84335,0.74155,0.8369,0.80925,0.34931,1.02739,0.989,0.000139768,0.000139768,0.000139768
79,108.045,0.22231,0.93385,0.83107,0.8741,0.73937,0.84621,0.81919,0.34786,1.00393,0.98549,0.000133946,0.000133946,0.000133946
80,109.433,0.26553,1.1005,0.87609,0.83567,0.73878,0.82159,0.80386,0.34445,1.00995,0.97951,0.000128125,0.000128125,0.000128125
81,110.764,0.26025,1.00638,0.84768,0.8442,0.73863,0.81798,0.79931,0.34349,0.99545,0.9751,0.000122304,0.000122304,0.000122304
82,112.156,0.2801,1.069,0.84932,0.84844,0.74135,0.8325,0.79945,0.33736,0.97581,0.96827,0.000116483,0.000116483,0.000116483
83,113.578,0.23432,0.98912,0.84134,0.85425,0.75302,0.83566,0.79927,0.33313,0.95601,0.96532,0.000110662,0.000110662,0.000110662
