epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.4029,2.55587,5.88273,2.51238,0,0,0,0,2.80516,4.92389,2.89349,1.63112e-05,1.63112e-05,1.63112e-05
2,183.316,1.7465,5.43279,1.72125,0.00169,0.09449,0.00141,0.00104,2.14931,4.53928,2.23447,2.61809e-05,2.61809e-05,2.61809e-05
3,277.193,1.48705,5.1634,1.50964,0.00322,0.29025,0.00307,0.00241,2.03568,4.29365,2.20796,2.95826e-05,2.95826e-05,2.95826e-05
4,373.723,1.40554,5.02867,1.45578,0.00349,0.49981,0.0047,0.00376,2.04218,4.10349,2.36975,1.9894e-05,1.9894e-05,1.9894e-05
5,470.947,1.36255,4.94764,1.43041,0.00329,0.56663,0.00537,0.00433,2.05235,4.04076,2.42045,1.0192e-05,1.0192e-05,1.0192e-05
