epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.3186,0.37657,1.75531,1.15796,0.99987,1,0.995,0.99492,0.20419,1.49102,0.27022,0.000656085,0.000656085,0.000656085
2,27.6995,0.13588,0.70853,0.96036,0.99993,1,0.995,0.995,0.19191,0.56438,0.25523,0.0011918,0.0011918,0.0011918
3,40.4623,0.11945,0.4968,0.94854,0.99994,1,0.995,0.995,0.15133,0.827,0.23224,0.00159551,0.00159551,0.00159551
4,53.832,0.10829,0.36901,0.94268,0.99995,1,0.995,0.995,0.28536,0.53448,0.38266,0.001406,0.001406,0.001406
5,66.6538,0.09795,0.29829,0.92837,0.99995,1,0.995,0.995,0.16687,0.40597,0.22969,0.001208,0.001208,0.001208
6,79.5456,0.08379,0.23484,0.92856,0.99995,1,0.995,0.995,0.21566,0.58588,0.29368,0.00101,0.00101,0.00101
7,92.1663,0.07001,0.19012,0.92195,1,0.99874,0.995,0.995,0.19517,0.5203,0.28786,0.000812,0.000812,0.000812
8,104.656,0.05543,0.15699,0.9094,0.99995,1,0.995,0.995,0.18485,0.58933,0.26,0.000614,0.000614,0.000614
9,117.074,0.04794,0.13845,0.90808,0.99995,1,0.995,0.995,0.19979,0.36149,0.29399,0.000416,0.000416,0.000416
10,129.528,0.03867,0.12385,0.90855,0.99995,1,0.995,0.995,0.17742,0.41207,0.26697,0.000218,0.000218,0.000218
