epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.261,0.49801,1.77832,1.36656,0.99974,1,0.995,0.995,0.20704,1.92243,0.27623,0.000656085,0.000656085,0.000656085
2,42.3393,0.12984,0.67763,0.95298,0.99993,1,0.995,0.995,0.17895,0.5957,0.2321,0.0011918,0.0011918,0.0011918
3,62.0965,0.1316,0.47229,0.96468,0.99994,1,0.995,0.995,0.33811,0.42528,0.40829,0.00159551,0.00159551,0.00159551
4,81.5979,0.13418,0.37568,0.96375,0.99982,1,0.995,0.995,0.27562,0.64035,0.36883,0.001406,0.001406,0.001406
5,101.378,0.09873,0.27222,0.92529,0.99995,1,0.995,0.995,0.28808,0.40154,0.45112,0.001208,0.001208,0.001208
6,121.083,0.08318,0.20937,0.92607,0.99995,1,0.995,0.995,0.33301,0.47379,0.57666,0.00101,0.00101,0.00101
7,140.733,0.06586,0.16873,0.91752,0.99994,1,0.995,0.995,0.21428,0.27903,0.27595,0.000812,0.000812,0.000812
8,160.193,0.05748,0.14629,0.91946,0.99995,1,0.995,0.995,0.17386,0.24112,0.2441,0.000614,0.000614,0.000614
9,180,0.04892,0.13082,0.91213,0.99995,1,0.995,0.995,0.14798,0.21844,0.21093,0.000416,0.000416,0.000416
10,199.709,0.04194,0.11489,0.90716,0.99995,1,0.995,0.995,0.1845,0.23659,0.23703,0.000218,0.000218,0.000218
