epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,115.225,0.24078,0.30071,0.98877,0.99949,1,0.995,0.995,0.31734,0.39343,0.44679,0.0011288,0.0011288,0.0011288
46,117.714,0.23915,0.28711,0.96572,0.99948,1,0.995,0.92807,0.35192,0.37494,0.4951,0.001109,0.001109,0.001109
47,120.333,0.22119,0.28312,0.96925,0.99947,1,0.995,0.995,0.33839,0.42104,0.48877,0.0010892,0.0010892,0.0010892
48,122.908,0.20722,0.27221,0.94545,0.99947,1,0.995,0.995,0.38717,0.49648,0.56036,0.0010694,0.0010694,0.0010694
49,125.783,0.21604,0.27269,0.94007,0.99948,1,0.995,0.995,0.39466,0.52649,0.5527,0.0010496,0.0010496,0.0010496
50,128.414,0.20719,0.25342,0.97445,0.99948,1,0.995,0.9063,0.40811,0.46562,0.57856,0.0010298,0.0010298,0.0010298
51,130.965,0.19742,0.24976,0.94692,0.99946,1,0.995,0.94013,0.44946,0.49708,0.65464,0.00101,0.00101,0.00101
52,133.468,0.19791,0.25964,0.92527,0.99948,1,0.995,0.95118,0.45357,0.46121,0.68989,0.0009902,0.0009902,0.0009902
53,135.942,0.23543,0.30702,0.96536,0.99948,1,0.995,0.918,0.41902,0.48041,0.64777,0.0009704,0.0009704,0.0009704
54,138.433,0.20442,0.26102,0.96738,0.99947,1,0.995,0.995,0.34585,0.43662,0.53885,0.0009506,0.0009506,0.0009506
55,140.89,0.23147,0.27131,0.97592,0.99947,1,0.995,0.995,0.35501,0.47247,0.52324,0.0009308,0.0009308,0.0009308
56,143.579,0.21236,0.27391,0.98386,0.99949,1,0.995,0.995,0.43932,0.38721,0.57475,0.000911,0.000911,0.000911
57,146.022,0.20693,0.25293,0.94187,0.99946,1,0.995,0.995,0.43971,0.38389,0.56417,0.0008912,0.0008912,0.0008912
58,148.476,0.20998,0.25569,0.95425,0.99823,1,0.995,0.8955,0.4313,0.47568,0.54791,0.0008714,0.0008714,0.0008714
59,150.94,0.2041,0.27514,0.96054,0.99857,1,0.995,0.995,0.38066,0.49701,0.49367,0.0008516,0.0008516,0.0008516
60,153.493,0.20653,0.24949,0.95158,0.99933,1,0.995,0.995,0.29465,0.30466,0.43422,0.0008318,0.0008318,0.0008318
61,155.962,0.18219,0.22542,0.94502,0.9993,1,0.995,0.995,0.27474,0.31585,0.42051,0.000812,0.000812,0.000812
62,158.615,0.19183,0.22695,0.94066,0.99949,1,0.995,0.995,0.41115,0.55721,0.5896,0.0007922,0.0007922,0.0007922
63,160.913,0.15932,0.2024,0.91502,0.99949,1,0.995,0.796,0.69274,0.92666,0.87701,0.0007724,0.0007724,0.0007724
64,163.193,0.17385,0.22875,0.93924,0.99949,1,0.995,0.92807,0.56976,0.63177,0.75396,0.0007526,0.0007526,0.0007526
65,165.447,0.17868,0.21229,0.92659,0.99947,1,0.995,0.94013,0.36601,0.31864,0.49147,0.0007328,0.0007328,0.0007328
66,167.721,0.18508,0.22796,0.94022,0.99948,1,0.995,0.995,0.32702,0.38566,0.43448,0.000713,0.000713,0.000713
67,170.011,0.1781,0.20438,0.93097,0.99944,1,0.995,0.995,0.44834,0.61815,0.56233,0.0006932,0.0006932,0.0006932
68,172.491,0.16276,0.20422,0.92728,0.99939,1,0.995,0.96207,0.50065,0.62835,0.6348,0.0006734,0.0006734,0.0006734
69,174.745,0.16949,0.20384,0.93828,0.99948,1,0.995,0.995,0.4545,0.53018,0.59573,0.0006536,0.0006536,0.0006536
70,177.041,0.14782,0.19886,0.9346,0.99948,1,0.995,0.995,0.50004,0.56312,0.66306,0.0006338,0.0006338,0.0006338
71,179.349,0.15685,0.20222,0.91863,0.99948,1,0.995,0.796,0.55284,0.73852,0.71628,0.000614,0.000614,0.000614
72,181.59,0.14539,0.19693,0.91672,0.99948,1,0.995,0.995,0.56318,0.68756,0.69909,0.0005942,0.0005942,0.0005942
73,183.829,0.15099,0.18908,0.94149,0.99947,1,0.995,0.995,0.428,0.62619,0.56962,0.0005744,0.0005744,0.0005744
74,186.24,0.15094,0.20255,0.94667,0.99945,1,0.995,0.995,0.33946,0.41078,0.46581,0.0005546,0.0005546,0.0005546
75,188.752,0.13459,0.17866,0.89804,0.99946,1,0.995,0.995,0.3582,0.32634,0.48427,0.0005348,0.0005348,0.0005348
76,191.208,0.15232,0.19122,0.92365,0.99948,1,0.995,0.995,0.36469,0.29208,0.49287,0.000515,0.000515,0.000515
77,193.53,0.15155,0.18068,0.93677,0.99949,1,0.995,0.995,0.35667,0.2745,0.4891,0.0004952,0.0004952,0.0004952
78,195.892,0.15342,0.20462,0.91909,0.99949,1,0.995,0.995,0.30058,0.24819,0.45005,0.0004754,0.0004754,0.0004754
79,198.326,0.14564,0.18423,0.91986,0.99949,1,0.995,0.995,0.29039,0.2486,0.44258,0.0004556,0.0004556,0.0004556
80,200.681,0.14241,0.17506,0.94719,0.99949,1,0.995,0.96207,0.31684,0.23165,0.45604,0.0004358,0.0004358,0.0004358
81,203.168,0.15414,0.21948,0.92553,0.99948,1,0.995,0.96207,0.33023,0.21898,0.4643,0.000416,0.000416,0.000416
82,205.619,0.15184,0.19984,0.91185,0.99949,1,0.995,0.995,0.33426,0.2573,0.4625,0.0003962,0.0003962,0.0003962
83,207.959,0.14551,0.18126,0.92696,0.99949,1,0.995,0.995,0.32513,0.25463,0.46064,0.0003764,0.0003764,0.0003764
84,210.265,0.1519,0.18279,0.94665,0.99948,1,0.995,0.995,0.29938,0.31372,0.42183,0.0003566,0.0003566,0.0003566
85,212.596,0.13511,0.17133,0.91257,0.99948,1,0.995,0.995,0.26679,0.32003,0.38679,0.0003368,0.0003368,0.0003368
86,215.003,0.14453,0.17761,0.91447,0.99948,1,0.995,0.995,0.23645,0.3063,0.35487,0.000317,0.000317,0.000317
87,217.449,0.13752,0.17304,0.91241,0.99949,1,0.995,0.995,0.22307,0.30767,0.34117,0.0002972,0.0002972,0.0002972
88,219.772,0.10686,0.15776,0.91262,0.99949,1,0.995,0.995,0.2163,0.28504,0.33596,0.0002774,0.0002774,0.0002774
89,222.085,0.13303,0.16661,0.91856,0.99948,1,0.995,0.995,0.21033,0.26869,0.33015,0.0002576,0.0002576,0.0002576
90,224.506,0.12723,0.18269,0.90792,0.99949,1,0.995,0.995,0.22289,0.22442,0.33662,0.0002378,0.0002378,0.0002378
91,228.011,0.23894,1.07253,1.06665,0.99949,1,0.995,0.995,0.2338,0.2619,0.34313,0.000218,0.000218,0.000218
92,230.523,0.11747,0.52699,0.93315,0.99948,1,0.995,0.995,0.21222,0.34436,0.32436,0.0001982,0.0001982,0.0001982
93,232.761,0.10508,0.29024,0.9573,0.99947,1,0.995,0.995,0.20659,0.40234,0.31682,0.0001784,0.0001784,0.0001784
94,235.236,0.07961,0.19501,0.91409,0.99947,1,0.995,0.995,0.20032,0.44372,0.29827,0.0001586,0.0001586,0.0001586
95,237.558,0.07251,0.17516,0.93124,0.99949,1,0.995,0.995,0.1983,0.38289,0.28958,0.0001388,0.0001388,0.0001388
96,239.928,0.07166,0.16993,0.91425,0.99949,1,0.995,0.995,0.20558,0.35208,0.29853,0.000119,0.000119,0.000119
97,242.196,0.05968,0.16291,0.911,0.99949,1,0.995,0.995,0.2039,0.36843,0.29961,9.92e-05,9.92e-05,9.92e-05
98,244.441,0.06697,0.16195,0.8977,0.99949,1,0.995,0.995,0.19595,0.37779,0.29526,7.94e-05,7.94e-05,7.94e-05
99,246.659,0.05403,0.14907,0.90583,0.99949,1,0.995,0.995,0.19596,0.36109,0.29212,5.96e-05,5.96e-05,5.96e-05
100,249.044,0.0525,0.15567,0.91796,0.99949,1,0.995,0.995,0.19954,0.36041,0.29775,3.98e-05,3.98e-05,3.98e-05
