epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.5436,0.50064,1.83212,1.30478,0.99989,1,0.995,0.99484,0.12028,1.43704,0.15549,0.000656085,0.000656085,0.000656085
2,44.1358,0.13798,0.69791,0.95953,0.99995,1,0.995,0.995,0.14857,0.54041,0.20396,0.0011918,0.0011918,0.0011918
3,64.3743,0.11739,0.46667,0.94604,0.994,0.991,0.99493,0.96988,0.41032,0.73394,0.56881,0.00159551,0.00159551,0.00159551
4,84.2996,0.11232,0.3498,0.94503,0.99947,1,0.995,0.9949,0.27239,0.45864,0.3257,0.001406,0.001406,0.001406
5,104.356,0.10198,0.26536,0.9273,0.99995,1,0.995,0.995,0.1736,0.5206,0.25026,0.001208,0.001208,0.001208
6,124.18,0.08615,0.20785,0.9271,0.99993,1,0.995,0.995,0.25701,0.47597,0.30819,0.00101,0.00101,0.00101
7,144.07,0.07101,0.17558,0.91978,0.99994,1,0.995,0.995,0.22047,0.32188,0.29926,0.000812,0.000812,0.000812
8,164.918,0.06629,0.15098,0.91138,0.99995,1,0.995,0.995,0.2247,0.35654,0.28455,0.000614,0.000614,0.000614
9,184.897,0.05158,0.1285,0.90818,0.99995,1,0.995,0.995,0.20864,0.32685,0.28997,0.000416,0.000416,0.000416
10,204.516,0.04013,0.11258,0.90844,0.99995,1,0.995,0.995,0.19027,0.30511,0.26512,0.000218,0.000218,0.000218
