epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.571292,0,24.0918,0,0,0,0,0,0,18.0938,0,0,0,0
2,0.961126,0,24.1024,0,0,0,0,0,0,18.0938,0,1.9802e-05,1.9802e-05,1.9802e-05
3,1.20979,0,24.1719,0,0,0,0,0,0,18.0938,0,3.9208e-05,3.9208e-05,3.9208e-05
4,1.44866,0,24.203,0,0,0,0,0,0,18.0938,0,5.8218e-05,5.8218e-05,5.8218e-05
5,1.68825,0,24.141,0,0,0,0,0,0,18.0938,0,7.6832e-05,7.6832e-05,7.6832e-05
6,1.97195,0,24.1932,0,0,0,0,0,0,18.0938,0,9.505e-05,9.505e-05,9.505e-05
7,2.31256,0,24.0402,0,0,0,0,0,0,18.0938,0,0.000112872,0.000112872,0.000112872
8,2.65533,0,23.8689,0,0,0,0,0,0,18.0938,0,0.000130298,0.000130298,0.000130298
9,3.13057,0,23.6607,0,0,0,0,0,0,18.0938,0,0.000147328,0.000147328,0.000147328
10,3.46525,0,23.5422,0,0,0,0,0,0,18.0938,0,0.000163962,0.000163962,0.000163962
11,3.80058,0,23.3981,0,0,0,0,0,0,18.0938,0,0.0001802,0.0001802,0.0001802
12,4.15714,0,23.189,0,0,0,0,0,0,18.0938,0,0.000196042,0.000196042,0.000196042
13,4.53171,0,23.0665,0,0,0,0,0,0,18.0938,0,0.000211488,0.000211488,0.000211488
14,4.89284,0,22.8735,0,0,0,0,0,0,18.0938,0,0.000226538,0.000226538,0.000226538
15,5.23987,0,22.6889,0,0,0,0,0,0,18.0938,0,0.000241192,0.000241192,0.000241192
16,5.74896,0,22.4368,0,0,0,0,0,0,18.0938,0,0.00025545,0.00025545,0.00025545
17,6.1053,0,22.2281,0,0,0,0,0,0,18.0938,0,0.000269312,0.000269312,0.000269312
18,6.44145,0,22.0103,0,0,0,0,0,0,18.0938,0,0.000282778,0.000282778,0.000282778
19,6.83615,0,22.0428,0,0,0,0,0,0,18.0938,0,0.000295848,0.000295848,0.000295848
20,7.21099,0,21.7916,0,0,0,0,0,0,18.0938,0,0.000308522,0.000308522,0.000308522
21,7.71108,0,21.7458,0,0,0,0,0,0,18.0938,0,0.0003208,0.0003208,0.0003208
22,8.03175,0,21.45,0,0,0,0,0,0,18.0938,0,0.000332682,0.000332682,0.000332682
23,8.51163,0,21.4102,0,0,0,0,0,0,18.0938,0,0.000344168,0.000344168,0.000344168
24,8.81286,0,21.1753,0,0,0,0,0,0,18.0938,0,0.000355258,0.000355258,0.000355258
25,9.15285,0,21.0849,0,0,0,0,0,0,18.0625,0,0.000365952,0.000365952,0.000365952
26,9.47252,0,20.7392,0,0,0,0,0,0,18.0625,0,0.00037625,0.00037625,0.00037625
27,9.81666,0,20.7932,0,0,0,0,0,0,18.0312,0,0.000386152,0.000386152,0.000386152
28,10.1418,0,20.5351,0,0,0,0,0,0,18.0312,0,0.000395658,0.000395658,0.000395658
29,10.4898,0,20.4446,0,0,0,0,0,0,17.9844,0,0.000404768,0.000404768,0.000404768
30,10.8082,0,20.2665,0,0,0,0,0,0,17.9844,0,0.000413482,0.000413482,0.000413482
31,11.284,0,20.1489,0,0,0,0,0,0,18,0,0.0004218,0.0004218,0.0004218
32,11.6036,0,19.8153,0,0,0,0,0,0,18,0,0.000429722,0.000429722,0.000429722
33,11.9531,0,19.8128,0,0,0,0,0,0,18.0469,0,0.000437248,0.000437248,0.000437248
34,12.2834,0,19.4891,0,0,0,0,0,0,18.0469,0,0.000444378,0.000444378,0.000444378
35,12.6332,0,19.4595,0,0,0,0,0,0,18.0781,0,0.000451112,0.000451112,0.000451112
36,12.9571,0,19.1539,0,0,0,0,0,0,18.0781,0,0.00045745,0.00045745,0.00045745
37,13.3031,0,19.1036,0,0,0,0,0,0,18.0625,0,0.000463392,0.000463392,0.000463392
38,13.7699,0,18.8484,0,0,0,0,0,0,18.0625,0,0.000468938,0.000468938,0.000468938
39,14.1308,0,18.8768,0,0,0,0,0,0,18.0625,0,0.000474088,0.000474088,0.000474088
40,14.4858,0,18.4434,0,0,0,0,0,0,18.0625,0,0.000478842,0.000478842,0.000478842
41,14.8145,0,18.5877,0,0,0,0,0,0,18.0469,0,0.0004832,0.0004832,0.0004832
42,15.1286,0,18.1287,0,0,0,0,0,0,18.0469,0,0.000487162,0.000487162,0.000487162
43,15.4522,0,18.1135,0,0,0,0,0,0,18.0312,0,0.000490728,0.000490728,0.000490728
44,15.9148,0,17.8835,0,0,0,0,0,0,18.0312,0,0.000493898,0.000493898,0.000493898
45,16.2613,0,17.8935,0,0,0,0,0,0,18.0156,0,0.000496672,0.000496672,0.000496672
46,16.572,0,17.8842,0,0,0,0,0,0,18.0156,0,0.00049905,0.00049905,0.00049905
47,16.9169,0,17.521,0,0,0,0,0,0,18.0469,0,0.000501032,0.000501032,0.000501032
