epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.640829,1.81095,2.52826,2.42871,0.00333,1,0.755,0.188,1.23675,3.04655,3.13531,0,0,0
2,0.871174,2.09883,2.69438,2.90523,0.00333,1,0.645,0.16488,1.23176,3.04388,3.15771,1.99802e-05,1.99802e-05,1.99802e-05
3,1.10102,2.6013,4.03789,3.38208,0.00333,1,0.755,0.19509,1.22547,3.03616,3.19887,3.99208e-05,3.99208e-05,3.99208e-05
4,1.31229,2.18783,2.56638,3.05118,0.00333,1,0.74115,0.17677,1.21596,3.03253,3.19739,5.98218e-05,5.98218e-05,5.98218e-05
5,1.51779,2.58028,3.22377,3.22639,0.00333,1,0.6375,0.16393,1.21841,3.02517,3.25519,7.96832e-05,7.96832e-05,7.96832e-05
6,1.75905,1.98577,2.64823,3.07186,0.00333,1,0.6375,0.19604,1.13873,3.01682,2.90454,9.9505e-05,9.9505e-05,9.9505e-05
7,2.04308,2.10599,2.64956,2.81093,0.00333,1,0.74115,0.25949,0.96849,2.9933,2.29581,0.000119287,0.000119287,0.000119287
8,2.51601,1.969,2.68474,2.72447,0.00333,1,0.645,0.2094,0.96911,2.98902,2.29059,0.00013903,0.00013903,0.00013903
9,2.79699,1.83061,2.61452,2.63456,0.00333,1,0.6375,0.22887,0.59532,2.98222,1.44044,0.000158733,0.000158733,0.000158733
10,3.09721,1.86313,2.35236,2.3734,0.00333,1,0.764,0.44089,0.53909,2.975,1.09192,0.000178396,0.000178396,0.000178396
11,3.41705,1.47959,2.22818,2.04771,0.00333,1,0.755,0.44543,0.48798,2.90933,0.92609,0.00019802,0.00019802,0.00019802
12,3.72102,1.38554,2.13902,2.11473,0.00333,1,0.80643,0.63174,0.43821,2.85806,0.81034,0.000217604,0.000217604,0.000217604
13,4.01446,1.73034,2.30625,2.29293,0.00333,1,0.9125,0.85479,0.4322,2.8177,0.72585,0.000237149,0.000237149,0.000237149
14,4.31901,0.8531,1.64956,1.53522,0.00333,1,0.995,0.96204,0.4166,2.80397,0.70713,0.000256654,0.000256654,0.000256654
15,4.62561,1.18165,1.60185,1.75625,0.00333,1,0.995,0.995,0.41917,2.76076,0.77321,0.000276119,0.000276119,0.000276119
16,4.94365,0.77075,1.37795,1.47225,0.00333,1,0.995,0.95104,0.50569,2.67771,0.95402,0.000295545,0.000295545,0.000295545
17,5.2416,0.70858,1.30984,1.53052,0.00333,1,0.995,0.8955,0.5342,2.61021,0.99741,0.000314931,0.000314931,0.000314931
18,5.54864,1.07112,1.47559,1.64663,0.00333,1,0.995,0.8955,0.5342,2.61021,0.99741,0.000334278,0.000334278,0.000334278
19,5.84203,0.76909,1.30536,1.39755,0.00333,1,0.995,0.995,0.52475,2.55691,0.96376,0.000353585,0.000353585,0.000353585
20,6.15399,1.00783,1.4011,1.68365,0.00333,1,0.995,0.995,0.52475,2.55691,0.96376,0.000372852,0.000372852,0.000372852
21,6.63977,1.31403,1.46337,2.00729,0.00333,1,0.995,0.995,0.34476,2.58464,0.75391,0.00039208,0.00039208,0.00039208
22,6.93852,0.77822,1.21318,1.49289,0.00333,1,0.995,0.995,0.34476,2.58464,0.75391,0.000411268,0.000411268,0.000411268
23,7.24588,0.89464,1.238,1.5268,0.00333,1,0.995,0.995,0.31588,2.47051,0.79976,0.000430417,0.000430417,0.000430417
24,7.5381,1.1726,1.57949,1.61365,0.00333,1,0.995,0.995,0.31588,2.47051,0.79976,0.000449526,0.000449526,0.000449526
25,7.86162,0.97775,1.44206,1.58989,0.00333,1,0.995,0.995,0.38764,2.4449,0.93878,0.000468595,0.000468595,0.000468595
26,8.15257,1.29459,1.43567,1.70052,0.00333,1,0.995,0.995,0.38764,2.4449,0.93878,0.000487625,0.000487625,0.000487625
27,8.47363,0.68584,0.9772,1.25297,0.00333,1,0.995,0.8955,0.55397,2.50071,1.10912,0.000506615,0.000506615,0.000506615
28,8.73754,0.61561,0.92378,1.25856,0.00333,1,0.995,0.8955,0.55397,2.50071,1.10912,0.000525566,0.000525566,0.000525566
29,9.0327,1.1614,1.38352,1.53028,0.00333,1,0.995,0.8955,0.74983,2.63326,1.516,0.000544477,0.000544477,0.000544477
30,9.29419,0.7013,0.85992,1.08197,0.00333,1,0.995,0.8955,0.74983,2.63326,1.516,0.000563348,0.000563348,0.000563348
31,9.71838,1.13438,1.24276,1.64397,0.00333,1,0.995,0.69765,1.01099,2.97558,1.58494,0.00058218,0.00058218,0.00058218
32,9.99543,0.7639,1.07703,1.43208,0.00333,1,0.995,0.69765,1.01099,2.97558,1.58494,0.000600972,0.000600972,0.000600972
33,10.2929,1.42844,1.96344,2.03938,0.00333,1,0.25359,0.09768,1.7126,3.71318,2.02898,0.000619725,0.000619725,0.000619725
34,10.5829,1.29756,1.71715,1.95677,0.00333,1,0.25359,0.09768,1.7126,3.71318,2.02898,0.000638438,0.000638438,0.000638438
35,10.8692,0.53898,1.08639,1.31714,0.00333,1,0.01721,0.00447,2.89223,4.4009,2.71022,0.000657111,0.000657111,0.000657111
36,11.1542,0.88755,1.27868,1.36606,0.00333,1,0.01721,0.00447,2.89223,4.4009,2.71022,0.000675745,0.000675745,0.000675745
37,11.4582,1.09949,1.27551,1.74809,0.00222,0.66667,0.00831,0.00155,3.93565,4.79092,3.52137,0.000694339,0.000694339,0.000694339
38,11.7358,0.87863,1.29329,1.52715,0.00222,0.66667,0.00831,0.00155,3.93565,4.79092,3.52137,0.000712894,0.000712894,0.000712894
39,12.0431,0.99241,1.44219,1.78968,0.00333,1,0.10137,0.03014,2.40129,3.94806,2.36601,0.000731409,0.000731409,0.000731409
40,12.3045,0.56629,0.89522,1.33138,0.00333,1,0.10137,0.03014,2.40129,3.94806,2.36601,0.000749884,0.000749884,0.000749884
