epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,181.21,1.9537,5.89631,2.15277,0.00206,0.16275,0.00166,0.0011,2.34453,4.53197,3.16983,0.00332881,0.00332881,0.00332881
2,365.418,1.49924,5.38754,1.74768,0.0027,0.59792,0.00405,0.00277,2.46541,3.99626,3.46199,0.00659619,0.00659619,0.00659619
3,546.353,1.55077,5.14012,1.76648,0.0033,0.69068,0.00633,0.00408,2.49455,3.88422,3.523,0.00979757,0.00979757,0.00979757
4,726.725,1.56185,4.96709,1.7603,0.00462,0.68176,0.01127,0.00765,2.39927,3.82151,3.44152,0.009703,0.009703,0.009703
5,909.961,1.48473,4.64731,1.67927,0.00472,0.83961,0.01653,0.01191,2.27305,3.54422,3.21214,0.009604,0.009604,0.009604
